Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Meteor-main,dev.pixelib.meteor.core.executor,ImplementationWrapperTest,invokeOn_unknownMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core,MeteorLoopbackTest,testLoopbackFunctionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Meteor-main,dev.pixelib.meteor.core,MeteorTest,registerProcedureExpectSuccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.core,MeteorTest,testRegisterProcedureWithNameExpectSuccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.core,MeteorTest,isRpcInvalidTypesExpectFail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.trackers,IncomingInvocationTrackerTest,testRegisterImplementation_thenSuccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Meteor-main,dev.pixelib.meteor.core.trackers,IncomingInvocationTrackerTest,testRegisterImplementation_thenSuccess,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationDescriptorTest,testSerializationWithNamespace,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationDescriptorTest,testSerializationWithoutNamespace,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationResponseTest,testInvocationResponsePrimitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationResponseTest,testInvocationResponseObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationResponseTest,testInvocationResponseNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.transport.packets,InvocationResponseTest,testInvocationResponsePrimitiveArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.utils,ArgumentMapperTest,testResolvePrimitive_withFullQualifiedName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.utils,ArgumentMapperTest,testResolvePrimitive_withSimpleClassName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.utils,ArgumentMapperTest,testResolvePrimitive_classNotFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.utils,ArgumentMapperTest,testResolvePrimitive_nullValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.core.utils,ArgumentMapperTest,testOverflowArguments,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisPacketListenerTest,onMessage_throwException,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Meteor-main,dev.pixelib.meteor.transport.redis,RedisPacketListenerTest,subscribe_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisPacketListenerTest,getCustomSubscribedChannels_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.transport.redis,RedisSubscriptionThreadTest,start_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.transport.redis,RedisSubscriptionThreadTest,start_NoConnection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.transport.redis,RedisSubscriptionThreadTest,start_reconnect,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.transport.redis,RedisSubscriptionThreadTest,subscribe_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validImplementation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validImplementation,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validImplementation,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validMethodProxy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validMethodProxy,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,send_validMethodProxy,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,subscribe_implementation,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,subscribe_implementation,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,subscribe_methodProxy,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,subscribe_methodProxy,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,subscribe_secondSubscription,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,close_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Meteor-main,dev.pixelib.meteor.transport.redis,RedisTransportTest,construct_withJedisPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
